Rank,Title,Artist,Date
8,까탈레나 (Catallena),오렌지캬라멜(Orange Caramel),20150712
9,야생화,박효신,20150712
10,단발머리 (Short Hair),에이오에이(AOA),20150712
11,봄 사랑 벚꽃 말고,하이포(HIGH4),20150712
12,"눈, 코, 입",태양,20150712
13,별 짓 다해봤는데,알리(Ali),20150712
14,Hot Summer,에프엑스(f(x)),20150712
15,기대해,걸스데이(Girl's Day),20150712
16,나의 옛날이야기,아이유(IU),20150712
17,와일드 (Wild),나인뮤지스(Nine Muses),20150712
18,애타는 마음,울랄라세션(Ulala Session),20150712
19,Mr.Chu (On Stage),에이핑크(Apink),20150712
20,살다가 한번쯤,포맨,20150712
21,Trouble Maker,트러블메이커(Troublemaker),20150712
22,STEP,카라(Kara),20150712
23,그 중에 그대를 만나,이선희,20150712
24,널 위한 노래,어쿠스틱 콜라보(Acoustic Collabo),20150712
25,My Love,이승철,20150712
26,"Love (feat. Bumkey, Paloalto)",프라이머리(Primary),20150712
27,"걷자, 집앞이야 (feat. 주예인)",스무살,20150712
28,장마,정인,20150712
29,해변의 여인,쿨(COOL),20150712
30,넘버나인 (No.9),티아라(T-ara),20150712
31,잘못된 만남,김건모,20150712
32,오늘부터 1일 (Day 1),케이윌(K.Will),20150712
33,빨래,이적,20150712
34,너 사용법,에디킴,20150712
35,빠빠빠,크레용팝(Crayon Pop),20150712
36,짧은 치마 (Miniskirt),에이오에이(AOA),20150712
37,죽고 싶단 말 밖에,허각,20150712
38,여름밤,헤르쯔 아날로그(Herz Analog),20150712
39,고래의 꿈 (Falling In Love Again) (feat. 김영근 - Bobby'S Father),바비 킴(Bobby Kim),20150712
40,Can't Nobody,투애니원(2NE1),20150712
41,뭐해? (Piano ver.),신용재 [4men],20150712
42,사랑은 언제나 목마르다,이영현,20150712
43,비를 내려줘요,린(LYn),20150712
44,B.B.B (Big Baby Baby),달샤벳(Dal★shabet),20150712
45,Give It To Me,씨스타(Sistar),20150712
46,날 그만 잊어요,거미,20150712
47,하루 종일 비가 내렸어,디아(Dia) [키스 & 크라이],20150712
48,Style,라니아(Rania),20150712
49,편지,김광진,20150712
50,붙잡고도,노을,20150712
51,200%,악동뮤지션(AKMU),20150712
52,Give Love,악동뮤지션(AKMU),20150712
53,사랑이 지나가면,아이유(IU),20150712
54,삐딱하게 (Crooked),G-DRAGON,20150712
55,1월부터 6월까지,윤종신,20150712
56,So Cool (쏘쿨),씨스타(Sistar),20150712
57,Hush (Party ver.),미쓰 에이(miss A),20150712
58,그게 아니고,10cm(십센치),20150712
59,바라만 봐도 좋은데,노리플라이(no reply),20150712
60,니가 떠난 그날 ,먼데이 키즈(Monday Kiz),20150712
61,농담 반 진담 반,슈가볼(Sugarbowl),20150712
62,너의 뒤에서,이승기,20150712
63,슬픔활용법,김범수,20150712
64,우산,윤하(Younha/ユンナ),20150712
65,둘이서,한살차이,20150712
66,Missing You,플라이 투 더 스카이(Fly To The Sky),20150712
67,사랑... 그게 뭔데,양파,20150712
68,심장이 없어,에이트(8Eight),20150712
69,우산 (feat. 윤하),에픽 하이(Epik High),20150712
70,너랑 나,아이유(IU),20150712
71,이 죽일놈의 사랑,이수영,20150712
72,미워요,정인,20150712
73,까만안경,이루(Eru),20150712
74,밀당의 고수,에디킴,20150712
75,이름이 뭐예요?,포미닛(4minute),20150712
76,강남스타일,싸이(Psy),20150712
77,아름다운 이별,김건모,20150712
78,비가 오는 날엔,비스트(Beast),20150712
79,중독된 사랑,조장혁,20150712
